,state,county,total_votes,dem_votes,rep_votes,other_votes,dem_share,east_west
792,MI,Cass County,23576,12083,11114,379,52.09,east
793,CT,Litchfield County,98966,51041,46173,1752,52.49,east
794,NE,Burt County,3387,1413,1907,67,42.56,west
795,CT,Hartford County,412728,268721,138984,5023,65.89,east
796,CT,Tolland County,75501,45053,29266,1182,60.61,east
797,IA,Clinton County,24719,15018,9324,377,61.69,west
798,CT,Windham County,50844,28673,21210,961,57.49,east
799,RI,Providence County,252553,167704,80748,4101,67.5,east
800,NY,Sullivan County,31183,16850,13900,433,54.8,east
801,CA,Siskiyou County,21470,9292,11520,658,44.64,west
802,NE,Garden County,1138,283,844,11,25.11,west
803,NE,Morrill County,2351,557,1725,69,24.41,west
804,UT,Cache County,41332,10294,29127,1911,26.12,west
805,NE,Scotts Bluff County,14730,4745,9708,277,32.83,west
806,UT,Rich County,1006,154,831,21,15.64,west
807,PA,Bradford County,25787,10306,15057,424,40.64,east
808,PA,Tioga County,17984,6390,11326,268,36.07,east
809,UT,Box Elder County,19058,3311,15228,519,17.86,west
810,NV,Humboldt County,5599,1909,3586,104,34.76,west
811,NV,Elko County,15887,4541,10969,377,29.3,west
812,PA,McKean County,15947,6465,9224,258,41.21,east
813,PA,Potter County,7507,2300,5109,98,31.04,east
814,CA,Del Norte County,9531,4323,4967,241,46.56,west
815,PA,Wayne County,22835,9892,12702,241,43.78,east
816,PA,Susquehanna County,19286,8381,10633,272,44.08,east
817,PA,Warren County,18517,8537,9685,295,46.85,east
818,CA,Modoc County,4420,1313,2981,126,30.59,west
819,NV,Washoe County,179175,99671,76880,2624,56.45,west
820,IL,DuPage County,417973,228698,183626,5649,55.47,east
821,OH,Ashtabula County,44874,25027,18949,898,56.94,east
822,IA,Cedar County,9665,5221,4289,155,54.9,west
823,IL,Whiteside County,26906,15607,10883,416,58.92,east
824,NE,Boone County,2836,742,2042,52,26.65,west
825,IL,Lee County,16318,7765,8258,295,48.46,east
826,IA,Harrison County,7578,3555,3909,114,47.63,west
827,IA,Iowa County,8546,4202,4188,156,50.08,west
828,IA,Dallas County,32640,15149,16954,537,47.19,west
